Number_of_particle Energy Final_Acceptance_rate
3 1.6720387742067022 0.0
4 1.5069799505559958 0.0
5 1.21486276401945 0.33
6 1.01688151821877 0.0
7 1.0184283981541564 0.19
8 1.021453218892059 0.37
9 0.9116553339384382 0.2
10 0.8245481663724805 0.0
3 1.6720387742067022 0.0
4 1.5069799505559958 0.0
5 1.2148627640172318 0.39
6 1.01688151821877 0.0
7 1.018428398154115 0.13
8 1.0215095842712252 0.22
9 0.9124576002910703 0.09
10 0.8245481663724805 0.0
3 1.6720387742067022 0.0
4 1.5069799505559958 0.0
5 1.2148627640178353 0.3
6 1.01688151821877 0.0
7 1.0184283981569116 0.12
8 1.0214532188923733 0.25
9 0.9124576002890509 0.11
10 0.8245481663724806 0.0
3 1.6720387742067249 0.0
4 1.5069799505564498 0.42
5 1.2148627640205667 0.45
6 1.01688151821877 0.0
7 1.0184283981566014 0.13
8 1.0214532188918757 0.21
9 0.9116553339399422 0.16
10 0.8245481663724805 0.0
3 1.6720387742067022 0.0
4 1.5069799505559958 0.0
5 1.2148627640205683 0.34
6 1.01688151821877 0.0
7 1.0184283981540954 0.08
8 1.0214532188918477 0.31
9 0.9116553339416483 0.1
10 0.8245481663724805 0.0
3 1.6720387742067022 0.0
4 1.5069799505559958 0.0
5 1.214862764017564 0.37
6 1.01688151821877 0.0
7 1.0184283981541538 0.08
