time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.66 0.34 10 inf
200 7395614119336.037 0.47 0.53 10 inf
300 9386085227379.0 0.29 0.71 10 inf
400 9262962708363.744 0.34 0.66 5 inf
500 12203453450010.96 0.2 0.8 5 inf
600 13739681229911.926 0.29 0.71 2 inf
700 17555027657708.1 0.23 0.77 1 inf
800 20106157142600.95 0.0 1.0 1 1
900 10521064726436.637 0.0 1.0 1 1
1000 11832719089313.252 0.0 1.0 1 1
1100 13282685717445.111 0.0 1.0 1 1
1200 14903610501227.092 0.0 1.0 1 1
1300 16741263457884.28 0.0 1.0 1 1
1400 18862678107934.543 0.0 1.0 1 1
1500 21371779086510.133 0.0 1.0 1 1
1600 24442670498423.977 0.0 1.0 1 1
1700 28401738105131.42 0.0 1.0 1 1
1800 33981730495620.86 0.0 1.0 1 1
1900 43520790492817.73 0.0 1.0 1 1
