time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.47 0.53 1.0425531914893618 0.006386979514108672
200 292.05186052415394 0.76 0.24 0.2894736842105263 0.010527658539892815
300 214.41355177504607 0.74 0.26 0.3108108108108108 0.011004674531316445
400 242.89535726497382 0.77 0.23 0.3116883116883117 0.010576986757907724
500 294.5578246818399 0.81 0.19 0.30864197530864196 0.010230719254628854
600 350.7698821258133 0.74 0.26 0.33783783783783783 0.0104265551016056
700 392.91953085145207 0.77 0.23 0.24675324675324675 0.011504897321718966
800 403.7985989965823 0.79 0.21 0.24050632911392406 0.01121446513694094
900 467.45973154402634 0.79 0.21 0.25316455696202533 0.010850952293678533
1000 543.3501338327007 0.82 0.18 0.17073170731707318 0.01219782848925212
1100 542.5833372048193 0.79 0.21 0.3037974683544304 0.00994715641469371
1200 746.5443670941677 0.84 0.16 0.20238095238095238 0.01139654516908552
1300 731.9444008138073 0.75 0.25 0.24 0.010858820898068361
1400 865.5332606053837 0.77 0.23 0.22077922077922077 0.011133434678231247
1500 956.477127397993 0.71 0.29 0.30985915492957744 0.010866189091241136
1600 1120.816389799127 0.54 0.46 0.4074074074074074 0.014293105292465287
1700 990.1053414768089 0.46 0.54 1.173913043478261 0.014293105293440985
1800 1184.627953032353 0.49 0.51 1.0408163265306123 0.014293105293748293
1900 1517.166553992651 0.55 0.45 0.8181818181818182 0.01429310529319318
