time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate averageDE
100 0 0.53 0.47 1.0 0.20216179187903113
200 8.263753523305226 0.75 0.25 0.30666666666666664 0.26031735508865605
300 8.615993413564079 0.75 0.25 0.28 0.2404890396093343
400 12.07347491713229 0.86 0.14 0.18604651162790697 0.23649983265048388
500 15.581053258333085 0.92 0.08 0.16304347826086957 0.22046776815716276
600 21.051811938504393 0.84 0.16 0.17857142857142858 0.15252572588904095
700 38.51264517613373 0.85 0.15 0.17647058823529413 0.10695824400649072
800 71.16680755447697 0.9 0.1 0.06666666666666667 0.16440247074931363
900 64.36951642618324 0.94 0.06 0.0425531914893617 0.18064857844783166
100000 3.92814484624 0.8475 0.1525 0.16519174041297935 1.0561484135010208
