time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.01005232299211841 0.083 0.09305232299211841
200 0.012636616472392124 0.08 0.09263661647239213
300 0.010862650207397753 0.077 0.08786265020739777
400 0.018201279652151344 0.064 0.08220127965215135
500 0.02122579074251929 0.061 0.08222579074251929
600 0.020871196816092695 0.054000000000000006 0.07487119681609271
700 0.026947304642810224 0.04300000000000001 0.06994730464281024
800 0.026400406617477622 0.03900000000000001 0.06540040661747763
900 0.027323349564546497 0.037000000000000005 0.0643233495645465
100000 0.02928998746168311 0.26099999999999995 0.2902899874616831
